Compilation;Date;Value
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-01;25663.427408521
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-02;25819.196596392
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-03;25974.965784263
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-04;26130.734972134
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-05;26286.504160006
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-06;26442.273347877
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-07;26598.042535748
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-08;26753.811723619
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-09;26909.58091149
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-10;27065.350099361
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-11;27221.119287233
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-12;27376.888475104
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-13;27532.657662975
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-14;27688.426850846
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-15;27844.196038717
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-16;27999.965226588
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-17;28155.73441446
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-18;28311.503602331
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-19;28467.272790202
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-20;28623.041978073
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-21;28778.811165944
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-22;28934.580353815
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-23;29090.349541686
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-24;29246.118729558
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-25;29401.887917429
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-26;29557.6571053
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-27;29713.426293171
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-28;29869.195481042
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-29;30024.964668913
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-30;30180.733856785
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-07-31;30336.503044656
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-01;30492.272232527
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-02;30648.041420398
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-03;30803.810608269
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-04;30959.57979614
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-05;31115.348984011
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-06;31271.118171883
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-07;31426.887359754
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-08;31582.656547625
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-09;31738.425735496
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-10;31894.194923367
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-11;32049.964111238
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-12;32205.73329911
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-13;32361.502486981
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-14;32517.271674852
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-15;32673.040862723
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-16;32828.810050594
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-17;32984.579238465
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-18;33140.348426337
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-19;33296.117614208
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-20;33451.886802079
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-21;33607.65598995
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-22;33763.425177821
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-23;33919.194365692
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-24;34074.963553563
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-25;34230.732741435
"AESRD 2013 - Bitumen - Shell Jackpine Mine";2010-08-26;34386.501929306
